sku,type,variant key,Product name,Product description,Product key,category,Product price mode,brand,Premium Wet Pet Food,Premium Dry Pet Food,weight,price EUR,price PLN, price GBP,url
H-T-HT-VK3,HTT003,pet-treats,hamster_treats,Vitakraft Kracker Sticks Hamster Treat Honey Spelt x2 66g,hamster_treats_003,Small animal>Hamster,Vitakraft Kracker,0.132,"EUR",4,"PLN",15,"GBP",3,rabbit_treats3

H-C-HC-SV1,HCH001,pet-crates-and-tanks,hamster_crate,Savic Hamster Sky Cage,hamster_crate_001,Small animal>hamster,Savic,One size,"EUR",51,"PLN",260,"GBP",52,hamster_crate1
H-C-HC-PH1,HCH002,pet-crates-and-tanks,hamster_crate,Pets at Home Plastic Home 1 with Accessories Dwarf Hamster,hamster_crate_002,Small animal>hamster,Pets at Home,One size,"EUR",47,"PLN",200,"GBP",40,hamster_crate2

H-T-HH-PH1,HTH001,pet-toys,hamster_toys,Pets at Home Hamster Seesaw,hamster_toys_001,Small animal>hamster,Pets at Home,One size,"EUR",5,"PLN",20,"GBP",4,hamster_toys1
H-T-HH-PH2,HTH002,pet-toys,hamster_toys,Pets at Home Hamster Bamboo Hideaway Aubergine,hamster_toys_002,Small animal>hamster,Pets at Home,One size,"EUR",6,"PLN",25,"GBP",5,hamster_toys2

//Rat
R-F-RR-SS1,RRF001,"pet-food",rat_food,Science Selective Complete Rat and Mouse Food 1.5kg,rat_food_001,Small animal>Rat,Science Selective,1.5,"EUR",10,"PLN",40,"GBP",8,rat_food1
R-F-RR-PH1,RRF002,"pet-food",rat_food,Pets at Home Rat & Mouse Muesli Small Animal Food 1kg,rat_food_002,Small animal>Rat,Pets at Home,1,"EUR",4,"PLN",15,"GBP",3,rat_food2
R-F-RF-PH2,RRF003,"pet-food",rat_food,Pets at Home Nutri Pressed Rat Nuggets 2kg,rat_food_003,Small animal>Rat,Pets at Home,2,"EUR",7,"PLN",30,"GBP",6,rat_food3

R-C-RR-FR1,RRR001,pet-crates-and-tanks,rat_crate,Ferplast Furat Home Rat Cage,rat_crate_001,Small animal>Rat,Ferplast,One size,"EUR",130,"PLN",550,"GBP",110,rat_crate1

R-T-RR-OX1,TRT001,pet-toys,rat_toys,Oxbow Garden Dig Box Rat Forage Box,rat_toys_001,Small animal>Rat,Oxbow,One size,"EUR",15,"PLN",65,"GBP",13,rat_toys1
